No,カテゴリ,質問項目,プロンプト,救急受診ガイドの判定
147,首が痛い・肩が痛い（成人・小児）,両腕や手足の動きが悪いですか？　〔または〕感覚が鈍いようなことはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。両腕や手足の動きが悪いですか？または感覚が鈍いようなことはありますか？はい。,赤
148,首が痛い・肩が痛い（成人・小児）,突然ガーンと頭を殴られたようなひどい痛みですか？　〔または〕　吐き気はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。突然ガーンと頭を殴られたようなひどい痛みですか？または吐き気はありますか？はい。,赤
149,首が痛い・肩が痛い（成人・小児）,心臓の病気、とくに狭心症や心筋梗塞と言われたことがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。心臓の病気、とくに狭心症や心筋梗塞と言われたことがありますか？はい。,赤
150,首が痛い・肩が痛い（成人・小児）,胸の痛みや胸のもやもやした（おかしな）感じ（不快感）がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。胸の痛みや胸のもやもやした（おかしな）感じ（不快感）がありますか？はい。,赤
151,首が痛い・肩が痛い（成人・小児）,背中の強い痛みはありますか？　〔かつ〕　高血圧もありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。背中の強い痛みはありますか？かつ高血圧もありますか？はい。,赤
152,首が痛い・肩が痛い（成人・小児）,意識がもうろうとしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。意識がもうろうとしていますか？はい。,赤
153,アレルギー（成人・小児）,呼吸困難はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。呼吸困難はありますか？はい。,赤
154,アレルギー（成人・小児）,口の中　〔または〕　舌がはれていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。口の中または舌がはれていますか？はい。,赤
155,アレルギー（成人・小児）,飲み込みにくいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。飲み込みにくいですか？はい。,赤
156,アレルギー（成人・小児）,突然意識を失いましたか？　〔または〕　めまい　がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。突然意識を失いましたか？またはめまいがありますか？はい。,赤
157,アレルギー（成人・小児）,胸の痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。胸の痛みがありますか？はい。,赤
158,アレルギー（成人・小児）,急速に進行するさまざまな症状がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。急速に進行するさまざまな症状がありますか？はい。,赤
159,アレルギー（成人・小児）,前回、同様のアレルゲンでアナフィラキシーを起こしたことがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。前回、同様のアレルゲンでアナフィラキシーを起こしたことがありますか？はい。,赤
160,アレルギー（成人・小児）,持続する吐き気　〔または〕　嘔吐　〔または〕　下痢　がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。持続する吐き気または嘔吐または下痢がありますか？はい。,赤
161,アレルギー（成人・小児）,見え方（視覚）に変化がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。見え方（視覚）に変化がありますか？はい。,赤
162,アレルギー（成人・小児）,混乱して（興奮したり、受け答えがおかしい）いますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。混乱して（興奮したり、受け答えがおかしい）いますか？はい。,赤
163,アレルギー（成人・小児）,顔面、手足がはれていますか？　〔または〕　むくんでいますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。顔面、手足がはれていますか？またはむくんでいますか？はい。,赤
164,高血圧（成人）,激しい頭痛　〔または〕　ぼんやりみえる　〔または〕　吐き気がありますか？〔または〕　吐 いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。高血圧（成人）。激しい頭痛またはぼんやりみえるまたは吐き気がありますか？または吐いていますか？はい。,赤
165,眼科関連（成人・小児）,急にものが二重に見えましたか？　〔または〕　眼がかすみますか？　〔または〕　ものがよく 見えなくなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼科関連（成人・小児）。急にものが二重に見えましたか？または眼がかすみますか？またはものがよく見えなくなりましたか？はい。,赤
166,眼科関連（成人・小児）,眼の突然の激しい痛みですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼科関連（成人・小児）。眼の突然の激しい痛みですか？はい。,赤
167,鼻のけが・鼻血（成人・小児）,鼻のけがをしてから、息がしづらいですか？　〔または〕　しゃべりにくいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。鼻のけが・鼻血（成人・小児）。鼻のけがをしてから、息がしづらいですか？またはしゃべりにくいですか？はい。,赤
168,鼻のけが・鼻血（成人・小児）,鼻のけがをしてから、吐き気がありますか？　〔または〕　吐きましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。鼻のけが・鼻血（成人・小児）。鼻のけがをしてから、吐き気がありますか？または吐きましたか？はい。,赤
169,鼻のけが・鼻血（成人・小児）,鼻のけがをしてから、意識がもうろうとしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。鼻のけが・鼻血（成人・小児）。鼻のけがをしてから、意識がもうろうとしていますか？はい。,赤
170,鼻のけが・鼻血（成人・小児）,鼻のけがをしてから、視力障害（二重に見える・もやがかかっているように見える・見える 範囲が欠けている・見える範囲が狭いなど見えかたの変化）がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。鼻のけが・鼻血（成人・小児）。鼻のけがをしてから、視力障害（二重に見える・もやがかかっているように見える・見える範囲が欠けている・見える範囲が狭いなど見えかたの変化）がありますか？はい。,赤
171,鼻のけが・鼻血（成人・小児）,鼻のけがをしてから、動きや話の様子が普段と違っていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。鼻のけが・鼻血（成人・小児）。鼻のけがをしてから、動きや話の様子が普段と違っていますか？はい。,赤
172,鼻のけが・鼻血（成人・小児）,鼻のけがをしてから、透明の鼻水が継続して出ていますか？　〔または〕　耳の穴から出血　 〔または〕　透明の耳だれがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。鼻のけが・鼻血（成人・小児）。鼻のけがをしてから、透明の鼻水が継続して出ていますか？または耳の穴から出血または透明の耳だれがありますか？はい。,赤
173,口の中や歯の問題（成人・小児）,喉（のど）の奥〔または〕舌が突然腫れましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。喉（のど）の奥または舌が突然腫れましたか？はい。,赤
174,口の中や歯の問題（成人・小児）,下の歯（下顎）、首、胸、肩、腕のいずれかの痛みがありますか？その痛みが続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。下の歯（下顎）、首、胸、肩、腕のいずれかの痛みがありますか？その痛みが続いていますか？はい。,赤
175,手や腕の問題（成人・小児）,指がちぎれそうですか？　〔または〕　指がブラブラしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。指がちぎれそうですか？または指がブラブラしていますか？はい。,赤
176,手や腕の問題（成人・小児）,腕の向きがおかしいですか？　〔または〕　変形していますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。腕の向きがおかしいですか？または変形していますか？はい。,赤
177,手や腕の問題（成人・小児）,指が冷たくなっていますか？　〔または〕　色が悪くなってきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。指が冷たくなっていますか？または色が悪くなってきましたか？はい。,赤
178,手や腕の問題（成人・小児）,骨が見えていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。骨が見えていますか？はい。,赤
179,手や腕の問題（成人・小児）,激しく〔または〕大量の出血が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。激しくまたは大量の出血が続いていますか？はい。,赤
180,手や腕の問題（成人・小児）,手や腕が思うように動かせませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。手や腕が思うように動かせませんか？はい。,赤
181,足（太もものつけ根から足首）の問題（成人・小児）,足の色が悪くなりましたか（紫色）？　〔かつ〕　強い痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。足の色が悪くなりましたか（紫色）？かつ強い痛みがありますか？はい。,赤
182,足（太もものつけ根から足首）の問題（成人・小児）,激しく〔または〕大量の出血が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。激しくまたは大量の出血が続いていますか？はい。,赤
183,足首から先の問題（成人・小児）,急に足の色が悪くなって（紫色）強い痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。急に足の色が悪くなって（紫色）強い痛みがありますか？はい。,赤
184,足首から先の問題（成人・小児）,急に足の先の感覚が「急に」鈍くなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。急に足の先の感覚が「急に」鈍くなりましたか？はい。,赤
185,咬まれた・刺された（成人・小児）,フラフラしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。フラフラしていますか？はい。,赤
186,咬まれた・刺された（成人・小児）,息が苦しいですか？　〔または〕　苦しそうですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。息が苦しいですか？または苦しそうですか？はい。,赤
187,咬まれた・刺された（成人・小児）,胸が押される感じがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。胸が押される感じがありますか？はい。,赤
188,咬まれた・刺された（成人・小児）,唇や舌がはれていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。唇や舌がはれていますか？はい。,赤
189,咬まれた・刺された（成人・小児）,つばやものが飲み込みにくいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。つばやものが飲み込みにくいですか？はい。,赤
190,咬まれた・刺された（成人・小児）,かまれた　〔あるいは〕　刺された部位以外の皮膚は冷たいですか？　〔または〕　白いです か？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。かまれたあるいは刺された部位以外の皮膚は冷たいですか？または白いですか？はい。,赤
191,咬まれた・刺された（成人・小児）,汗をかいていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。汗をかいていますか？はい。,赤
192,咬まれた・刺された（成人・小児）,どんどん出血していますか〔または〕出血が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。どんどん出血していますかまたは出血が続いていますか？はい。,赤
193,咬まれた・刺された（成人・小児）,意識がなくなってはいませんか？〔または〕呼びかけにきちんと応答しませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。意識がなくなってはいませんか？または呼びかけにきちんと応答しませんか？はい。,赤
194,咬まれた・刺された（成人・小児）,あばれていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。あばれていますか？はい。,赤
195,咬まれた・刺された（成人・小児）,ハチに口の中を刺されましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。ハチに口の中を刺されましたか？はい。,赤
196,咬まれた・刺された（成人・小児）,サソリに刺されましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。サソリに刺されましたか？はい。,赤
197,咬まれた・刺された（成人・小児）,以前にも同じ動物、昆虫に刺されてひどいアレルギーを起こしたことがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。以前にも同じ動物、昆虫に刺されてひどいアレルギーを起こしたことがありますか？はい。,赤
198,咬まれた・刺された（成人・小児）,毒蛇（どくへび）にかまれましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。毒蛇（どくへび）にかまれましたか？はい。,赤
199,咬まれた・刺された（成人・小児）,蛇にかまれて、〔かつ〕ぐったりしていていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。蛇にかまれて、かつぐったりしていていますか？はい。,赤
200,咬まれた・刺された（成人・小児）,ヘビにかまれ、かまれた部位以外に　突然の蕁麻疹、発疹、かゆみがみられますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。ヘビにかまれ、かまれた部位以外に突然の蕁麻疹、発疹、かゆみがみられますか？はい。,赤
201,咬まれた・刺された（成人・小児）,ヘビにかまれ、かまれた傷の周りに強い痛みと腫れがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。ヘビにかまれ、かまれた傷の周りに強い痛みと腫れがありますか？はい。,赤
202,咬まれた・刺された（成人・小児）,クラゲなどの海洋生物に刺され、突然、蕁麻疹が出てきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。クラゲなどの海洋生物に刺され、突然、蕁麻疹が出てきましたか？はい。,赤
203,咬まれた・刺された（成人・小児）,クラゲなどの海洋生物に刺されたが、刺されていない腕、足が突然腫れてきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。クラゲなどの海洋生物に刺されたが、刺されていない腕、足が突然腫れてきましたか？はい。,赤
204,咬まれた・刺された（成人・小児）,クラゲなどの海洋生物に刺され、痛みのために動くのが困難ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。クラゲなどの海洋生物に刺され、痛みのために動くのが困難ですか？はい。,赤
205,咬まれた・刺された（成人・小児）,ハチなどの昆虫に刺され、刺された場所以外に急に蕁麻疹や赤い斑点、かゆみ、腫れがみられますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。ハチなどの昆虫に刺され、刺された場所以外に急に蕁麻疹や赤い斑点、かゆみ、腫れがみられますか？はい。,赤
206,咬まれた・刺された（成人・小児）,ハチなどの昆虫に刺され、筋肉のこわばり、腹痛、不安状態（通常の状態ではない）がみられますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。ハチなどの昆虫に刺され、筋肉のこわばり、腹痛、不安状態（通常の状態ではない）がみられますか？はい。,赤
207,咬まれた・刺された（成人・小児）,ハチなどの昆虫に刺され、気持ち悪がったり、吐いたり、おなかがぴくつくようなことはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。ハチなどの昆虫に刺され、気持ち悪がったり、吐いたり、おなかがぴくつくようなことはありますか？はい。,赤
208,咬まれた・刺された（成人・小児）,ダニにかまれた場合、ダニに対してアレルギー反応を起こしたことがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。咬まれた・刺された（成人・小児）。ダニにかまれた場合、ダニに対してアレルギー反応を起こしたことがありますか？はい。,赤
209,やけど（成人・小児）,日焼け以外のやけどの範囲が、背中全体、胸全体、顔全体、両足全体、両手全体 になっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。日焼け以外のやけどの範囲が、背中全体、胸全体、顔全体、両足全体、両手全体になっていますか？はい。,赤
210,やけど（成人・小児）,呼吸は苦しいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。呼吸は苦しいですか？はい。,赤
211,やけど（成人・小児）,めまい、ふらつきはありますか？　〔または〕　歩けないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。めまい、ふらつきはありますか？または歩けないですか？はい。,赤
212,やけど（成人・小児）, 意識が「ボー」としますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。意識が「ボー」としますか？はい。,赤
213,やけど（成人・小児）,煙を吸いましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。煙を吸いましたか？はい。,赤
214,やけど（成人・小児）,喉（のど）の痛み、声がれ（しわがれ声）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。喉（のど）の痛み、声がれ（しわがれ声）はありますか？はい。,赤
215,やけど（成人・小児）,顔に煤（すす）はついてますか。鼻毛は焼けて（こげて）いますか？　〔または〕　口の中に 煤はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。顔に煤（すす）はついてますか。鼻毛は焼けて（こげて）いますか？または口の中に煤はありますか？はい。,赤
216,やけど（成人・小児）,胸がドキドキしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。胸がドキドキしていますか？はい。,赤
217,やけど（成人・小児）,首、手、足のやけどはぐるりと一周していますか？（日焼け以外）,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。首、手、足のやけどはぐるりと一周していますか？（日焼け以外）はい。,赤
218,頭のけが（成人）,意識をなくしましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。意識をなくしましたか？はい。,赤
219,頭のけが（成人）, 吐きましたか？　〔または〕　吐き気　がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。吐きましたか？または吐き気がありますか？はい。,赤
220,頭のけが（成人）,手足に力が入らなかったり、しびれたりしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。手足に力が入らなかったり、しびれたりしますか？はい。,赤
221,頭のけが（成人）,頭を打ったことを覚えていませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。頭を打ったことを覚えていませんか？はい。,赤
222,頭のけが（成人）,変なことを言ったり、反応が悪くなってきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。変なことを言ったり、反応が悪くなってきましたか？はい。,赤
223,頭のけが（成人）,眼が見えにくかったり、二重に見えたりしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。眼が見えにくかったり、二重に見えたりしますか？はい。,赤
224,頭のけが（成人）,頭痛がひどくなってきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。頭痛がひどくなってきましたか？はい。,赤
225,頭のけが（成人）,フラフラしていますか？　〔または〕　めまいがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。フラフラしていますか？またはめまいがありますか？はい。,赤
226,頭のけが（成人）,意識がもうろうとしてきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。意識がもうろうとしてきましたか？はい。,赤
227,頭のけが（成人）,元気がないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。元気がないですか？はい。,赤
228,頭のけが（成人）,耳（耳の穴）から出血が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。耳（耳の穴）から出血が続いていますか？はい。,赤
229,頭のけが（成人）,顔色が悪いですか（まっ青）？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。顔色が悪いですか（まっ青）？はい。,赤
230,頭のけが（成人）,痙攣（ひきつけ）がありましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。痙攣（ひきつけ）がありましたか？はい。,赤
231,眼のけが（成人・小児）,眼を打った後に急に眼が見えにくくなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。眼を打った後に急に眼が見えにくくなりましたか？はい。,赤
232,眼のけが（成人・小児）,頭を打った後に急に眼が見えにくくなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。頭を打った後に急に眼が見えにくくなりましたか？はい。,赤
233,眼のけが（成人・小児）,ものが二重に見えますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。ものが二重に見えますか？はい。,赤
234,眼のけが（成人・小児）,目が飛び出ましたか？　（目の出かたに左右差がありますか？）,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。目が飛び出ましたか？（目の出かたに左右差がありますか？）はい。,赤
235,体幹外傷（成人・小児）,胸　〔または〕　おなか　の強い痛みは続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。胸またはおなかの強い痛みは続いていますか？はい。,赤
236,体幹外傷（成人・小児）,息切れ　〔または〕　息苦しさ　が感じられますか,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。息切れまたは息苦しさが感じられますかはい。,赤
237,体幹外傷（成人・小児）,繰り返して吐いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。繰り返して吐いていますか？はい。,赤
238,体幹外傷（成人・小児）,吐いたものに血が混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。吐いたものに血が混じっていますか？はい。,赤
239,体幹外傷（成人・小児）,おしりからの出血がありますか？　〔または〕　便に血が混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。おしりからの出血がありますか？または便に血が混じっていますか？はい。,赤
240,体幹外傷（成人・小児）,尿が赤いですか？　〔または〕　血が混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。尿が赤いですか？または血が混じっていますか？はい。,赤
241,体幹外傷（成人・小児）,刃物などが刺さったままですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。刃物などが刺さったままですか？はい。,赤
242,体幹外傷（成人・小児）,きずから血や空気が噴き出していますか？　〔または〕　吸い込まれていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。きずから血や空気が噴き出していますか？または吸い込まれていますか？はい。,赤
243,体幹外傷（成人・小児）,きずから内臓が見えますか？　〔または〕　内臓が出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。きずから内臓が見えますか？または内臓が出ていますか？はい。,赤
244,体幹外傷（成人・小児）,激しく〔または〕大量の出血が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。激しくまたは大量の出血が続いていますか？はい。,赤
245,体幹外傷（成人・小児）,銃によるきずですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。銃によるきずですか？はい。,赤
246,体幹外傷（成人・小児）,胸　〔または〕　おなか　の痛みが強くなっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。体幹外傷（成人・小児）。胸またはおなかの痛みが強くなっていますか？はい。,赤
247,手足・顔面の外傷（成人・小児）,変形していますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。変形していますか？はい。,赤
248,手足・顔面の外傷（成人・小児）,身動きができない状態ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。身動きができない状態ですか？はい。,赤
249,手足・顔面の外傷（成人・小児）,手足が自分で動かせませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。手足が自分で動かせませんか？はい。,赤
250,手足・顔面の外傷（成人・小児）,激しく〔または〕大量の出血が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。激しくまたは大量の出血が続いていますか？はい。,赤
251,手足・顔面の外傷（成人・小児）,力が入らない状態ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。力が入らない状態ですか？はい。,赤
252,手足・顔面の外傷（成人・小児）,手足にしびれがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。手足にしびれがありますか？はい。,赤
253,手足・顔面の外傷（成人・小児）,ものが二重に見える状態ですか　〔かつ〕　顔にけがをしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。ものが二重に見える状態ですかかつ顔にけがをしていますか？はい。,赤
254,手足・顔面の外傷（成人・小児）,けがをした手足の指先が逆の指と比べて冷たいですか　〔または〕　青ざめていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。けがをした手足の指先が逆の指と比べて冷たいですかまたは青ざめていますか？はい。,赤
255,何か固形物を飲み込んだ（成人・小児）,いつも通りの息ができていませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。いつも通りの息ができていませんか？はい。,赤
256,何か固形物を飲み込んだ（成人・小児）,むせていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。むせていますか？はい。,赤
257,何か固形物を飲み込んだ（成人・小児）,とがったものを飲んだようですか？　（針、釘、びょう、ガラス、錠剤のシートなど）,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。とがったものを飲んだようですか？（針、釘、びょう、ガラス、錠剤のシートなど）はい。,赤
258,何か固形物を飲み込んだ（成人・小児）,喉（のど）〔または〕胸が激しく痛みますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。喉（のど）または胸が激しく痛みますか？はい。,赤
259,何か固形物を飲み込んだ（成人・小児）,喉（のど）から １円玉より大きなもの が取れませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。喉（のど）から１円玉より大きなものが取れませんか？はい。,赤
260,何か固形物を飲み込んだ（成人・小児）,血を吐きましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。血を吐きましたか？はい。,赤
261,飲み物ではないものを飲んだ（成人・小児）,いつも通りの息ができていませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。飲み物ではないものを飲んだ（成人・小児）。いつも通りの息ができていませんか？はい。,赤
262,飲み物ではないものを飲んだ（成人・小児）,唇や口腔内（顔色）、爪が青いですか？激しい嘔吐　〔または〕　下痢　がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。飲み物ではないものを飲んだ（成人・小児）。唇や口腔内（顔色）、爪が青いですか？激しい嘔吐または下痢がありますか？はい。,赤
263,飲み物ではないものを飲んだ（成人・小児）,吐き気　〔または〕　嘔吐　がありますか？　（嘔吐による誤嚥を防止する）,あなたは救急医です。救急受診が必要かどうかを判断してください。飲み物ではないものを飲んだ（成人・小児）。吐き気または嘔吐がありますか？（嘔吐による誤嚥を防止する）はい。,赤
264,飲み物ではないものを飲んだ（成人・小児）,喉（のど）が痛みますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。飲み物ではないものを飲んだ（成人・小児）。喉（のど）が痛みますか？はい。,赤
265,飲み物ではないものを飲んだ（成人・小児）,極端に多い汗　〔または〕　よだれ　が出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。飲み物ではないものを飲んだ（成人・小児）。極端に多い汗またはよだれが出ていますか？はい。,赤
266,飲み物ではないものを飲んだ（成人・小児）,唇、舌、肌がただれていますか？　〔または〕　ヒリヒリしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。飲み物ではないものを飲んだ（成人・小児）。唇、舌、肌がただれていますか？またはヒリヒリしますか？はい。,赤
267,飲み物ではないものを飲んだ（成人・小児）,胸がドキドキしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。飲み物ではないものを飲んだ（成人・小児）。胸がドキドキしますか？はい。,赤
